ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.550983830712,5451.143147874457,23482.99466846445
2014-02-28,5778.650833160926,-3636.2156321264056,14291.489423378544
2014-03-31,41875.53924751708,32798.16061155916,51625.7941944631
2014-04-30,25662.62128689918,16388.703280486683,34853.31619380806
2014-05-31,25711.964323222717,16334.078077407537,36073.36510846044
2014-06-30,26711.789135244726,17934.549593628737,35674.80870324786
2014-07-31,26438.194265699454,16750.17232212032,35306.090998867585
2014-08-31,30856.68853456981,21767.777704283973,39971.3319974841
2014-09-30,67620.9315591497,58130.40434175679,76889.87321934458
2014-10-31,36077.50434363136,26586.695339066508,46021.8958094942
2014-11-30,78301.3868300358,69218.6837098336,87555.62881967964
2014-12-31,69991.51876122518,61215.497141654145,79197.66770975979
2015-01-31,18738.336887457335,9602.720727518099,28730.039098320696
2015-02-28,13880.831822097716,4312.222983487996,22645.15391077005
2015-03-31,49598.83133659166,40540.56361287887,58049.85205312479
2015-04-30,34575.92268555444,25752.25601945763,43602.85879995759
2015-05-31,26387.657494117506,17360.209765381824,35699.79091426919
2015-06-30,31085.988085702964,22346.43722057862,40535.811421757244
2015-07-31,33255.78933249716,24610.97012183384,42459.307457073104
2015-08-31,40664.39710228739,31605.54349937655,50135.56895574132
2015-09-30,76491.88945131084,67380.94211666865,86083.06728699569
2015-10-31,35984.306768224036,26959.374192674975,45099.57205506817
2015-11-30,86921.2435456536,76984.61552680345,95515.15680935346
2015-12-31,75920.55147531375,66018.07430607177,85695.17371205798
2016-01-31,23165.28892379405,14333.13792172426,32608.859645555778
2016-02-29,14902.190714694068,5736.69153794487,24033.963147827646
2016-03-31,51724.01549364485,42732.70168607973,60351.95005969394
2016-04-30,33016.19322245203,24007.937954731904,42612.8682192401
2016-05-31,49868.2716339754,40160.63647435793,58795.8548787579
2016-06-30,44187.75231954514,34731.42299517985,53162.983706777864
2016-07-31,39287.721933296896,29850.64172622831,48540.981979086515
2016-08-31,37700.41539592088,27892.759699987375,46138.98771035593
2016-09-30,75996.54010626863,66823.87641174773,85292.53183117087
2016-10-31,62955.9581243157,53497.372969886455,71704.87028293396
2016-11-30,88181.84993970415,78902.81394656122,97399.06997619642
2016-12-31,85608.06708996664,76157.71331600404,94100.42013210825
2017-01-31,38211.250405041326,29193.249400804707,47058.76864109053
2017-02-28,25246.802248536525,15137.151174145998,34067.87791846931
2017-03-31,61846.2110980548,52257.06315316337,71632.79367139716
2017-04-30,44535.89897068274,35199.10249538134,53635.87231018512
2017-05-31,53069.88300926694,43821.077138590095,62646.83441552042
2017-06-30,50739.930775816385,41280.480802983744,60579.3434447616
2017-07-31,48243.23961356864,39036.09020493716,58348.644572852405
2017-08-31,49797.26043986944,40066.45905137815,59016.37797046324
2017-09-30,87518.48037298687,77983.48740403268,96310.44434041527
2017-10-31,65271.21412903659,55749.11220084039,74506.90004755737
2017-11-30,99056.46945870486,89863.2732979577,108188.54543874199
2017-12-31,93756.91392645612,84137.10735871625,103303.66149280423
2018-01-31,44491.10599539112,34884.51635051808,53224.134537228565
2018-02-28,35661.33915106407,26369.90628453564,44820.86171894877
2018-03-31,71959.87515220839,62168.92864354815,81524.72585236252
2018-04-30,55942.10001754926,46592.08071479611,65211.96483401139
2018-05-31,56193.09063995284,46580.14247614442,66226.86985910257
2018-06-30,57388.05827489196,48784.68044547288,67594.16413556127
